"the_date","the_sentence","Revision","newtext"
1979-04-03,"That could be put right by looking merely to the future and saying that the sort of intermediate lease used in the case decided by the court should not affect the price if it is entered into after the public knew the intentions of the Government, that is, after a date following the publication of the Bill.","Future","That could be put right by looking merely to the future and saying that the sort of intermediate lease used in the case decided by the court should not affect the price if it is entered into after the public knew the intentions of the Government, that is, after a date following the publication of the Bill."
2005-03-01,"What representations he has made to the Zimbabwe Government on the conduct of the next general election in Zimbabwe.","Past","What representations he has made to the Zimbabwe Government on the conduct of the next general election in Zimbabwe."
2004-10-20,"Instead of negotiating with the Royal British Legion by saying, ""We will go away and cost what the all-party Defence Committee has come up with,"" the Government have tried to block the Royal British Legion's proposal, which is a great shame.","Past","Instead of negotiating with the Royal British Legion by saying, ""We will go away and cost what the all-party Defence Committee has come up with,"" the Government have tried to block the Royal British Legion's proposal, which is a great shame."
1984-02-15,"At about the same time, an inspector from the hazardous wastes inspectorate—an independent unit within the Department of the Environment — visited the site.","Past","At about the same time, an inspector from the hazardous wastes inspectorate—an independent unit within the Department of the Environment — visited the site."
2003-04-03,"There is a risk that children may come across unexploded bombs and think that they have found humanitarian aid.","Future","There is a risk that children may come across unexploded bombs and think that they have found humanitarian aid."
1994-07-06,"In particular, they have added the magical ingredient of the word ""appropriate"" in several of the amendments.","Present","In particular, they have added the magical ingredient of the word ""appropriate"" in several of the amendments."
1998-12-01,"However, my noble Friend the Under-Secretary made the first ministerial visit to Cuba under this Government in October, followed in November by my Honourable Friend the Minister for Trade.","Past","However, my noble Friend the Under-Secretary made the first ministerial visit to Cuba under this Government in October, followed in November by my Honourable Friend the Minister for Trade."
2011-12-19,"All the points that I have already mentioned are used by individuals to delay the process.","Present","All the points that I have already mentioned are used by individuals to delay the process."
1995-06-30,"I believe that when one enters public life one accepts that one is living in a glass house and may be got at.","Present","I believe that when one enters public life one accepts that one is living in a glass house and may be got at."
1983-11-16,"Does my Honourable Friend agree that all this discussion shows that it would be unwise for the Government to attempt to manipulate the sterling exchange rate to hold it up?","Present","Does my Honourable Friend agree that all this discussion shows that it would be unwise for the Government to attempt to manipulate the sterling exchange rate to hold it up?"
2014-11-03,"I have told the CMEC that it must bear down on these cases.","Past","I have told the CMEC that it must bear down on these cases."
2003-04-30,"I did visit the call centre and what has happened is regrettable, but the fact is that new jobs are being created all the time in our valley constituencies and right across Wales.","Past","I did visit the call centre and what has happened is regrettable, but the fact is that new jobs are being created all the time in our valley constituencies and right across Wales."
1984-05-18,"The Honourable Member for City of Durham asked whether the slaughter of poultry in connection with Newcastle disease was carried out humanely.","Present","The Honourable Member for City of Durham asked whether the slaughter of poultry in connection with Newcastle disease was carried out humanely."
1989-03-07,"The Minister must be aware that the Danes share the disquiet of the West German Government about our modernisation plans.","Present","The Minister must be aware that the Danes share the disquiet of the West German Government about our modernisation plans."
2000-12-13,"All Honourable Members must sit down when I am on my feet.","Present","All Honourable Members must sit down when I am on my feet."
1997-11-26,"If the two general principles apply, government for London will receive the backing of Londoners.","Present","If the two general principles apply, government for London will receive the backing of Londoners."
1988-04-22,"If it is a matter of privilege, I must have a letter.","Present","If it is a matter of privilege, I must have a letter."
1987-04-09,"We heard all that, but what action will the Prime Minister take under existing statutes?","Future","We heard all that, but what action will the Prime Minister take under existing statutes?"
1998-05-18,"What does giving more resources to the Army cadet forces really mean?","Present","What does giving more resources to the Army cadet forces really mean?"
1985-05-13,"The new ticketing machines will make it easier for the public to obtain tickets and mean shorter queues.","Future","The new ticketing machines will make it easier for the public to obtain tickets and mean shorter queues."
1987-03-24,"Might it not be necessary to look at other headquarters with a British service input and a NATO role to ensure that this cannot happen or that there is a minimal chance of it happening at other headquarters?","Future","Might it not be necessary to look at other headquarters with a British service input and a NATO role to ensure that this cannot happen or that there is a minimal chance of it happening at other headquarters?"
1988-03-24,"Will you be quiet for one moment, you loquacious, arrogant—","Present","Will you be quiet for one moment, you loquacious, arrogant—"
1994-04-27,"I want to speak in particular to amendment No. 38, in the name of the Honourable Member for Leyton (Mr Cohen).","Present","I want to speak in particular to amendment No. 38, in the name of the Honourable Member for Leyton (Mr Cohen)."
2012-06-25,"Does he also agree that the importance of the European Central Bank needs to be further enhanced?","Future","Does he also agree that the importance of the European Central Bank needs to be further enhanced?"
1999-04-26,"However, we have a good record in according refugee status or exceptional leave to remain as quickly as possible to those whom we are clear come from Kosovo and have a well-founded fear of persecution.","Present","However, we have a good record in according refugee status or exceptional leave to remain as quickly as possible to those whom we are clear come from Kosovo and have a well-founded fear of persecution."
2011-04-26,"The House has already sat quite late.","Present","The House has already sat quite late."
1987-07-22,"It should have said that that was subject to parliamentary approval.","Present","It should have said that that was subject to parliamentary approval."
2004-01-29,"The arrangements are set out clearly on page 693 of ""Erskine May"".","Present","The arrangements are set out clearly on page 693 of ""Erskine May""."
1993-01-14,"The Minister's case has moved.","Present","The Minister's case has moved."
1980-03-11,"Is my Honourable Friend aware that the Honourable Member for Sheffield, Heeley (Mr Hooley) cannot appreciate the good will that missions of this kind generate in the Persian Gulf?","Present","Is my Honourable Friend aware that the Honourable Member for Sheffield, Heeley (Mr Hooley) cannot appreciate the good will that missions of this kind generate in the Persian Gulf?"
1996-07-23,"Up to 200 jobs at British Aerospace at Prestwick depend on the decision, and the fear is that it is being delayed to enable the Chancellor to give some pre-election tax cut bribe.","Future","Up to 200 jobs at British Aerospace at Prestwick depend on the decision, and the fear is that it is being delayed to enable the Chancellor to give some pre-election tax cut bribe."
1989-02-24,"Who wins?","Present","Who wins?"
1999-06-17,"I am keen that we should begin to advertise the recent price reductions of the Patent Office in Newport.","Future","I am keen that we should begin to advertise the recent price reductions of the Patent Office in Newport."
1990-07-13,"I have been given a ticket for parking on yellow lines by the new wardens.","Past","I have been given a ticket for parking on yellow lines by the new wardens."
1996-03-22,"However, she may care a little about how much obesity is costing the nation.","Present","However, she may care a little about how much obesity is costing the nation."
1981-11-17,"Are they making the environment for these birds as pleasant as they can?","Present","Are they making the environment for these birds as pleasant as they can?"
1993-02-19,"However, surely there is a fundamental difference of principle.","Present","However, surely there is a fundamental difference of principle."
1987-12-10,"I cannot promise a debate in the immediate future, but the Government attach great value to the D notice system and hope that the media will continue to participate.","Future","I cannot promise a debate in the immediate future, but the Government attach great value to the D notice system and hope that the media will continue to participate."
1991-07-19,"It is not for me to comment on a particular local authority's investment policy, although no doubt my Honourable Friend's points have a general application.","Present","It is not for me to comment on a particular local authority's investment policy, although no doubt my Honourable Friend's points have a general application."
1984-04-05,"For the Honourable and learned Gentleman to go on detailing all the surrounding properties is, I suggest, a great waste of time and quite unnecessary as it already has planning approval from the Leicester authority, as he well knows.","Past","For the Honourable and learned Gentleman to go on detailing all the surrounding properties is, I suggest, a great waste of time and quite unnecessary as it already has planning approval from the Leicester authority, as he well knows."
1980-02-08,"The medical evidence that has been put forward this morning and the editorial in The Guardiantoday shows that there is overwhelming support for terminations to take place before 24 weeks, and that the 24-week time limit would meet not only the medical but the moral aspects of this issue.","Present","The medical evidence that has been put forward this morning and the editorial in The Guardiantoday shows that there is overwhelming support for terminations to take place before 24 weeks, and that the 24-week time limit would meet not only the medical but the moral aspects of this issue."
2013-10-28,"Following visits I have made to bona fide metal recyclers in my constituency that do carry out checks on their clients in Cornwall, will my Honourable Friend tell me what action his Department is taking to ensure that rogue dealers are prosecuted and punished, and does he agree that all metal recyclers must have a level playing field on which to operate?","Future","Following visits I have made to bona fide metal recyclers in my constituency that do carry out checks on their clients in Cornwall, will my Honourable Friend tell me what action his Department is taking to ensure that rogue dealers are prosecuted and punished, and does he agree that all metal recyclers must have a level playing field on which to operate?"
1992-11-02,"Nine years ago this very month, I introduced a Bill to outlaw discrimination against disabled people.","Past","Nine years ago this very month, I introduced a Bill to outlaw discrimination against disabled people."
1979-02-08,"Secondly, is he aware of the warm agreement with what he said about the co-responsibility levy?","Present","Secondly, is he aware of the warm agreement with what he said about the co-responsibility levy?"
2015-01-05,"Might it be sensible to keep health workers away from direct patient contact for 21 days after they return?","Present","Might it be sensible to keep health workers away from direct patient contact for 21 days after they return?"
1998-05-13,"Amendments Nos. 14 and 173 are technical amendments, which would move provisions formerly contained in clause 12(2) of the original print of the Bill—now renumbered clause 11—into section 16(5) of the Industrial Tribunals Act 1996.","Present","Amendments Nos. 14 and 173 are technical amendments, which would move provisions formerly contained in clause 12(2) of the original print of the Bill—now renumbered clause 11—into section 16(5) of the Industrial Tribunals Act 1996."
2012-11-27,"There are still people living in Croatia who need to be brought before a court of law, and I hope very much that that will happen.","Present","There are still people living in Croatia who need to be brought before a court of law, and I hope very much that that will happen."
2000-03-20,"I will tell my constituents with great pleasure this weekend how ramblers have been described by the official Opposition.","Future","I will tell my constituents with great pleasure this weekend how ramblers have been described by the official Opposition."
1982-06-17,"The term PSBR is often used as a synonym and a cover title for public expenditure generally.","Present","The term PSBR is often used as a synonym and a cover title for public expenditure generally."
1995-10-25,"When there is a division of a territory such as in Cyprus there are always personal tragedies and people caught up in it.","Present","When there is a division of a territory such as in Cyprus there are always personal tragedies and people caught up in it."
1982-11-08,"Just for the sake of the record, would it be possible for him or his colleague to confirm that the only place where £142 million can be found is in the figure for increased spending on health and social services on page 21 of the autumn statement?","Present","Just for the sake of the record, would it be possible for him or his colleague to confirm that the only place where £142 million can be found is in the figure for increased spending on health and social services on page 21 of the autumn statement?"
1998-07-17,"The Honourable Gentleman has mentioned nuclear weapons twice in the last few moments, and he emphasised earlier the importance of the security guarantee to be extended under article 5 to all members, including new members.","Present","The Honourable Gentleman has mentioned nuclear weapons twice in the last few moments, and he emphasised earlier the importance of the security guarantee to be extended under article 5 to all members, including new members."
1981-02-12,"It seems that if there is one thing that Loretto school does teach its pupils, it is truancy.","Present","It seems that if there is one thing that Loretto school does teach its pupils, it is truancy."
1985-06-07,"What solidarity.","Present","What solidarity."
2005-01-20,"As was said, we should also remember the sterling help given by our armed forces to the victims of the tsunami tragedy in Sri Lanka and elsewhere.","Past","As was said, we should also remember the sterling help given by our armed forces to the victims of the tsunami tragedy in Sri Lanka and elsewhere."
2009-12-16,"Stress is one, so any Member of the House probably has an immediate predisposition to diabetes.","Present","Stress is one, so any Member of the House probably has an immediate predisposition to diabetes."
2003-03-27,"What he estimates will be the cost to (a) the Treasury, (b) other Governments and (c) international finance institutions of meeting the millennium target for reducing infant mortality.","Future","What he estimates will be the cost to (a) the Treasury, (b) other Governments and (c) international finance institutions of meeting the millennium target for reducing infant mortality."
2003-05-15,"The Water Bill is just up the Corridor at the moment and it amends section 101A.","Present","The Water Bill is just up the Corridor at the moment and it amends section 101A."
1983-03-03,"The Honourable Member spoke of Glasgow being given an additional seat.","Present","The Honourable Member spoke of Glasgow being given an additional seat."
2008-06-17,"[ Interruption.","Present","[ Interruption."
1998-06-23,"On the general issue, which I have raised at business questions, is it not totally wrong that the most senior QCs receive substantial sums out of legal aid work when so many people are not able to get legal aid?","Present","On the general issue, which I have raised at business questions, is it not totally wrong that the most senior QCs receive substantial sums out of legal aid work when so many people are not able to get legal aid?"
2011-07-04,"I must make it clear that the responsibility for defence export licences lies with the Department for Business, Innovation and Skills, which consults the Foreign Office on specific criteria and the Ministry of Defence on other criteria.","Present","I must make it clear that the responsibility for defence export licences lies with the Department for Business, Innovation and Skills, which consults the Foreign Office on specific criteria and the Ministry of Defence on other criteria."
2003-03-20,"Methane is produced as a by-product of both aerobic and anaerobic decomposition, which means that the waste rots either with or without the presence of oxygen.","Present","Methane is produced as a by-product of both aerobic and anaerobic decomposition, which means that the waste rots either with or without the presence of oxygen."
1997-03-04,"Why is the Minister trying to tell us that it is £500,000 when it is not?","Present","Why is the Minister trying to tell us that it is £500,000 when it is not?"
1983-04-29,"Therefore, the more enormous is the offence that is committed by the small retailer the worse becomes the case that my Honourable Friend is propounding.","Present","Therefore, the more enormous is the offence that is committed by the small retailer the worse becomes the case that my Honourable Friend is propounding."
2007-05-22,"That is the nub of the issue that faces us if we have to look to develop new infrastructure and local job opportunities on that very large site.","Present","That is the nub of the issue that faces us if we have to look to develop new infrastructure and local job opportunities on that very large site."
1993-05-20,"The Labour party has adopted as many positions as possible.","Past","The Labour party has adopted as many positions as possible."
1999-11-26,"She was responsible for building up a large part of the collection.","Past","She was responsible for building up a large part of the collection."
1997-07-16,"I will give way to the Honourable Gentleman on the Back Bench.","Present","I will give way to the Honourable Gentleman on the Back Bench."
1990-03-23,"They alleviate traffic congestion in towns and cities all over Britain.","Present","They alleviate traffic congestion in towns and cities all over Britain."
1990-12-10,"Within minutes of the conversation, the taxi driver had fallen asleep at the wheel.","Past","Within minutes of the conversation, the taxi driver had fallen asleep at the wheel."
1985-07-18,"One area in which China is most anxious to develop is railway transport.","Present","One area in which China is most anxious to develop is railway transport."
1982-04-28,"On the contrary, the timing and nature of any devolution are for the Assembly to propose.","Present","On the contrary, the timing and nature of any devolution are for the Assembly to propose."
1996-04-19,"I call Mr Spellar.","Present","I call Mr Spellar."
1990-12-17,"In the 25 years before abolition, 22 police officers were killed but in the 25 years since abolition, 53 police officers have been killed—a doubling of the figure.","Past","In the 25 years before abolition, 22 police officers were killed but in the 25 years since abolition, 53 police officers have been killed—a doubling of the figure."
1980-03-04,"There has always been a gap between the salaries paid to secretaries in the House and those paid to secretaries working in financial organisations in the City.","Present","There has always been a gap between the salaries paid to secretaries in the House and those paid to secretaries working in financial organisations in the City."
1984-08-01,"[Laughter.]","Present","[Laughter.]"
1985-12-19,"The French have now removed the import restrictions they were operating on our exports of ewemeat.","Past","The French have now removed the import restrictions they were operating on our exports of ewemeat."
2002-11-06,"He insisted on laying down impossible conditions that could not be met.","Past","He insisted on laying down impossible conditions that could not be met."
2002-10-23,"The Honourable Gentleman mentions the fact that only 3 per cent. of the people of Merseyside use the tunnels.","Present","The Honourable Gentleman mentions the fact that only 3 per cent. of the people of Merseyside use the tunnels."
2014-03-04,"Given the logic of Government, did my Honourable Friend also ask whether the people with a computing degree actually worked in such areas beforehand or did something completely different?","Past","Given the logic of Government, did my Honourable Friend also ask whether the people with a computing degree actually worked in such areas beforehand or did something completely different?"
1985-01-24,"To say that they have any relation to next week's business is a touch of generosity on my part.","Future","To say that they have any relation to next week's business is a touch of generosity on my part."
2005-01-24,"I have the greatest admiration for my Honourable Friend, but is she suggesting that the House of Commons should pass sub-acceptable legislation on the assumption that another place will throw it out?","Present","I have the greatest admiration for my Honourable Friend, but is she suggesting that the House of Commons should pass sub-acceptable legislation on the assumption that another place will throw it out?"
1993-01-20,"Is he aware that, from 1987—when the closure of the last pit in my constituency was announced —to the end of 1992, more than 11,000 new businesses were registered for VAT by the South Derbyshire VAT office, and that the unemployment rate in my constituency is 6 per cent?","Past","Is he aware that, 6 years ago—when the closure of the last pit in my constituency was announced —to the NAago, more than 11,000 new businesses were registered for VAT by the South Derbyshire VAT office, and that the unemployment rate in my constituency is 6 per cent?"
1979-06-14,"I am sorry that the Honourable Gentleman is not concerned about the rising unemployment in certain sections of agriculture and the fact that the present system is an advantage to foreign producers at the expense of British producers.","Present","I am sorry that the Honourable Gentleman is not concerned about the rising unemployment in certain sections of agriculture and the fact that the present system is an advantage to foreign producers at the expense of British producers."
1984-06-29,"Newly acquired.","Present","Newly acquired."
1993-02-16,"Having spoken of 1,000 years of Parliament and several hundred years of parliamentary sovereignty, I was asked a simple question by one of the pupils: ""But what good is Parliament if the Prime Minister can ignore it when he chooses?""","Past","Having spoken of 1,000 years of Parliament and several hundred years of parliamentary sovereignty, I was asked a simple question by one of the pupils: ""But what good is Parliament if the Prime Minister can ignore it when he chooses?"""
1998-03-12,"The Honourable Member for Ludlow was in the Chamber on 25 November for the Second Reading debate, where I set out at some length my belief about the way in which the Commons operates, and how one of the enormous strengths of our system is that, however high and mighty we think we may be, the fact that we have to go back to our constituency on a Friday evening, sit in a community centre and receive representations from our constituents, gives us a direct link to our constituents in a way that it is impossible to replicate under a system of multi-Member proportional representation.""—[Official Report, 25 November 1997; Vol. 301, c.","Past","The Honourable Member for Ludlow was in the Chamber on 25 November for the Second Reading debate, where I set out at some length my belief about the way in which the Commons operates, and how one of the enormous strengths of our system is that, however high and mighty we think we may be, the fact that we have to go back to our constituency on a Friday evening, sit in a community centre and receive representations from our constituents, gives us a direct link to our constituents in a way that it is impossible to replicate under a system of multi-Member proportional representation.""—[Official Report, 3 months ago; Vol. 301, c."
2013-05-20,"Was the intervention by Israel helpful?","Past","Was the intervention by Israel helpful?"
2012-03-06,"I am not entirely comfortable with agreeing with Hammersmith and Fulham, but for the sake of Chelsea I will make an exception.","Present","I am not entirely comfortable with agreeing with Hammersmith and Fulham, but for the sake of Chelsea I will make an exception."
2000-02-08,"It is sad and sobering that, until the Government were elected, there was no record of how much brownfield land was available.","Past","It is sad and sobering that, until the Government were elected, there was no record of how much brownfield land was available."
2000-03-13,"Or would have to?","Present","Or would have to?"
2004-04-22,"We would sit in Church house.","Past","We would sit in Church house."
1986-07-17,"In what way does the Honourable Gentleman's party seek to make it less attractive?","Present","In what way does the Honourable Gentleman's party seek to make it less attractive?"
1984-05-25,"I was specifically asked whether the North West water authority would take over the upper canal's land drainage function.","Present","I was specifically asked whether the North West water authority would take over the upper canal's land drainage function."
1983-11-23,"None, Sir, by the Commission.","Present","None, Sir, by the Commission."
2012-10-17,"Finally, the green purposes are clearly important as they relate to the essence of the green investment bank and to the company’s green objectives.","Present","Finally, the green purposes are clearly important as they relate to the essence of the green investment bank and to the company’s green objectives."
2004-10-27,"It is simply unfair that my constituents and those of my other Honourable Friends whose constituencies are in Surrey should be faced with footing the bill for an event that is entirely of the Government's making—","Present","It is simply unfair that my constituents and those of my other Honourable Friends whose constituencies are in Surrey should be faced with footing the bill for an event that is entirely of the Government's making—"
2013-10-31,"With 8,000 people in Worcestershire—the glorious county that gave birth to Edward Elgar—working in the tourism industry, will the Minister welcome the 13.5% increase in long-haul flights into Birmingham airport?","Present","With 8,000 people in Worcestershire—the glorious county that gave birth to Edward Elgar—working in the tourism industry, will the Minister welcome the 13.5% increase in long-haul flights into Birmingham airport?"
2002-02-06,"The Honourable Gentleman talks about the infinitely higher standards at faith-based schools.","Present","The Honourable Gentleman talks about the infinitely higher standards at faith-based schools."
2008-10-16,"I do wish that the Honourable Gentleman had talked to some people in London before telling us what he thinks is actually happening there.","Present","I do wish that the Honourable Gentleman had talked to some people in London before telling us what he thinks is actually happening there."
2013-09-11,"That has absolutely nothing to do with the registration of 7.2 million trade union members.","Present","That has absolutely nothing to do with the registration of 7.2 million trade union members."
2014-03-03,"It has to be said that the Honourable Member for Rhondda (Chris Bryant) is hiding his light under a bushel, because I am advised that he is a most accomplished swimmer.","Present","It has to be said that the Honourable Member for Rhondda (Chris Bryant) is hiding his light under a bushel, because I am advised that he is a most accomplished swimmer."
1981-03-10,"I am not sure whether the Minister is a willing volunteer or a reluctant conscript.","Present","I am not sure whether the Minister is a willing volunteer or a reluctant conscript."
1997-02-11,"RAF Burtonwood is let for warehousing and distribution.","Present","RAF Burtonwood is let for warehousing and distribution."
2014-11-06,"The right time to debate air passenger duty is after the Chancellor presents his autumn statement or his Budget each year.","Present","The right time to debate air passenger duty is after the Chancellor presents his autumn statement or his Budget each year."
1988-12-07,"They have developed worldwide interests in North America, Africa and the far east.","Past","They have developed worldwide interests in North America, Africa and the far east."
2013-06-04,"Most independent generators, whether we are talking about onshore, offshore, or other forms of low-carbon generation, are already thinking, when it comes to their investment decisions, about CFDs rather than ROs, simply because of the time period over which those investments have to be considered.","Future","Most independent generators, whether we are talking about onshore, offshore, or other forms of low-carbon generation, are already thinking, when it comes to their investment decisions, about CFDs rather than ROs, simply because of the time period over which those investments have to be considered."
1995-02-09,"The new technology that is driving the changes is exciting and we welcome the prospect of a new generation of interactive citizens, in addition to today's passive viewers.","Present","The new technology that is driving the changes is exciting and we welcome the prospect of a new generation of interactive citizens, in addition to today's passive viewers."
2010-10-26,"In the average family, a piggy bank-","Present","In the average family, a piggy bank-"
2015-01-13,"In 2005 under the previous Labour Government, Crawley hospital’s A and E department was closed, but I am pleased to say that in recent years health and other emergency services have been returning to the facility.","Past","10 years ago under the previous Labour Government, Crawley hospital’s A and E department was closed, but I am pleased to say that in recent years health and other emergency services have been returning to the facility."
1983-06-27,"There is nothing in the Gracious Speech about that.","Present","There is nothing in the Gracious Speech about that."
2001-03-05,"Does he agree that in some seaside towns there is an anomaly because employees in cafes and restaurants receive substantial tips from the customer on top of the minimum wage, while employees in the shops next door simply receive the minimum wage?","Present","Does he agree that in some seaside towns there is an anomaly because employees in cafes and restaurants receive substantial tips from the customer on top of the minimum wage, while employees in the shops next door simply receive the minimum wage?"
1988-01-13,"I find it a disgraceful way to treat a very serious matter which concerns the government of Scotland.","Present","I find it a disgraceful way to treat a very serious matter which concerns the government of Scotland."
2013-06-19,"I thank the Secretary of State for coming down to Brighton and Hove to visit NCSOFT and others in the software industry, and the music industry in the Brighton Institute of Modern Music.","Present","I thank the Secretary of State for coming down to Brighton and Hove to visit NCSOFT and others in the software industry, and the music industry in the Brighton Institute of Modern Music."
1985-11-15,"When we are dealing with matters of disaster and blood and thunder they are in all the newspapers, but the daily tragedies, each affecting a single family, get only a small reference in the local newspaper.","Present","When we are dealing with matters of disaster and blood and thunder they are in all the newspapers, but the daily tragedies, each affecting a single family, get only a small reference in the local newspaper."
2005-01-24,"Existing casinos can have a maximum of 10 category B machines, while the new casinos that the Government propose under the 888 proposals will have 150 category Bs per large casino and 80 per small casino.","Future","Existing casinos can have a maximum of 10 category B machines, while the new casinos that the Government propose under the 888 proposals will have 150 category Bs per large casino and 80 per small casino."
2014-12-05,"The Honourable Gentleman should know that Gladstone said the lives of the hill tribesmen in the wilds of Afghanistan were as “inviolable” in the “eyes of almighty God” as are our own.","Past","The Honourable Gentleman should know that Gladstone said the lives of the hill tribesmen in the wilds of Afghanistan were as “inviolable” in the “eyes of almighty God” as are our own."
2008-06-18,"Dido is a singer, and she is very much alive; I think that he meant to refer to the dodo.","Present","Dido is a singer, and she is very much alive; I think that he meant to refer to the dodo."
1985-04-16,"Mr Brian Sedgemore, Mr Ray Powell, Mr Robert N.","Present","Mr Brian Sedgemore, Mr Ray Powell, Mr Robert N."
1981-03-09,"It is something that both haunts and delights me, but I am not sure how to resolve my confusion and dichotomy.","Present","It is something that both haunts and delights me, but I am not sure how to resolve my confusion and dichotomy."
2014-09-10,"With the leave of the House, we shall take motions 3 to 5 together.","Present","With the leave of the House, we shall take motions 3 to 5 together."
2015-03-11,"In that regard, is it appropriate, in this House, which is a workplace, that a female Minister should be referred to as a washing machine?","Present","In that regard, is it appropriate, in this House, which is a workplace, that a female Minister should be referred to as a washing machine?"
1985-10-25,"Is the Honourable Gentleman aware that, taking the world as a whole, wood is the substance that is most used to create energy?","Present","Is the Honourable Gentleman aware that, taking the world as a whole, wood is the substance that is most used to create energy?"
1980-06-27,"My main accusation is that the Government have done the absolute minimum that they thought they could get away with under the code.","Past","My main accusation is that the Government have done the absolute minimum that they thought they could get away with under the code."
1985-07-18,"Many people tend to forget that this year we shall produce about 98 million tonnes of milk and consumption will be about 85 million tonnes.","Present","Many people tend to forget that this year we shall produce about 98 million tonnes of milk and consumption will be about 85 million tonnes."
1997-01-17,"I regret to have to report to the House the death of kin Campbell Mills Esq., Member for Meriden.","Present","I regret to have to report to the House the death of kin Campbell Mills Esq., Member for Meriden."
2013-11-21,"Towns in my constituency, such as Hade Edge and Marsden, are still struggling with poor broadband provision.","Present","Towns in my constituency, such as Hade Edge and Marsden, are still struggling with poor broadband provision."
2000-06-07,"The first point, Sir Alan, was—","Present","The first point, Sir Alan, was—"
2007-03-29,"My Honourable Friend is right that we are currently consulting, which will continue until May, on reforming the school funding system.","Future","My Honourable Friend is right that we are currently consulting, which will continue until May, on reforming the school funding system."
1979-01-29,"That is a quite different matter from industrial democracy.","Present","That is a quite different matter from industrial democracy."
2000-05-11,"Most of the calves in my constituency go to the kennels for nothing; the best go for £10 or £15.","Present","Most of the calves in my constituency go to the kennels for nothing; the best go for £10 or £15."
1990-05-23,"The answer is that the zones fit in perfectly.","Present","The answer is that the zones fit in perfectly."
2012-01-10,"As he might be aware, there are rules and regulations: it is not acceptable for that sort of advertising in NHS hospitals.","Present","As he might be aware, there are rules and regulations: it is not acceptable for that sort of advertising in NHS hospitals."
2011-05-10,"The ECO will ensure that people, such as the stereotypical little old lady in her extremely draughty home who could suffer from hypothermia, can enjoy more comfort and do not have to generate energy savings to install insulation.","Future","The ECO will ensure that people, such as the stereotypical little old lady in her extremely draughty home who could suffer from hypothermia, can enjoy more comfort and do not have to generate energy savings to install insulation."
2008-04-22,"Life?","Present","Life?"
2002-03-05,"I am lucky that I have in my constituency a scientist, Dr.","Present","I am lucky that I have in my constituency a scientist, Dr."
